laptop_serial_number,laptop_model,status,end_of_life
LAP-C113411874,Dell Laptop X12 Model,stock,no
LAP-5C2438C923,Dell Laptop X12 Model,stock,n/a
LAP-A413655825,Dell Laptop X12 Model,stock,yes
LAP-640CA68E11,Dell Laptop X12 Model,stock,no
LAP-FE40DBEA9E,Dell Laptop X12 Model,stock,
LAP-F3339E220A,Dell Laptop X12 Model,stock,
LAP-0CF7BFEA60,Dell Laptop X12 Model,stock,yes
LAP-E343CF339E,Dell Laptop X12 Model,stock,n/a
LAP-9C815A3C7D,Dell Laptop X12 Model,stock,
LAP-59A40E64CA,Dell Laptop X12 Model,stock,yes
LAP-A897E13C55,Dell Laptop X12 Model,stock,yes
LAP-958D19058E,Dell Laptop X12 Model,stock,
LAP-A032FADB31,Dell Laptop X12 Model,stock,
LAP-9F9F8EE797,Dell Laptop X12 Model,stock,
LAP-869399BBC3,Dell Laptop X12 Model,stock,yes
LAP-99108DD59A,Dell Laptop X12 Model,stock,no
LAP-6A8196379B,Dell Laptop X12 Model,stock,no
LAP-E56E686CD4,Dell Laptop X12 Model,stock,n/a
LAP-11C33DA458,Dell Laptop X12 Model,stock,n/a
LAP-4549C1A4F2,Dell Laptop X12 Model,stock,n/a
LAP-0EE7E9472A,Dell Laptop X12 Model,stock,
LAP-B222F219C6,Dell Laptop X12 Model,stock,n/a
LAP-CCEFA675EF,Dell Laptop X12 Model,stock,n/a
LAP-1ACCC55E3F,Dell Laptop X12 Model,stock,
LAP-7734071F0D,Dell Laptop X12 Model,stock,
LAP-6D0E604072,Dell Laptop X12 Model,stock,n/a
LAP-D7266F4180,Dell Laptop X12 Model,stock,yes
LAP-DF126C9DED,Dell Laptop X12 Model,stock,no
LAP-2E6BF598CD,Dell Laptop X12 Model,stock,
LAP-D7A0AF0200,Dell Laptop X12 Model,stock,
LAP-0BD5DCA537,Dell Laptop X12 Model,stock,n/a
LAP-29137EBD68,Dell Laptop X12 Model,stock,yes
LAP-33EBC0254B,Dell Laptop X12 Model,stock,yes
LAP-D3B585F274,Dell Laptop X12 Model,stock,
LAP-96AD3EE1A9,Dell Laptop X12 Model,stock,no
LAP-759AD63B69,Dell Laptop X12 Model,stock,no
LAP-755ED3CFA4,Dell Laptop X12 Model,stock,n/a
LAP-056C6F784F,Dell Laptop X12 Model,stock,
LAP-B50FFFA698,Dell Laptop X12 Model,stock,no
LAP-0C1E8DDF60,Dell Laptop X12 Model,stock,
LAP-E1232DF11C,Dell Laptop X12 Model,stock,no
LAP-3E3E163042,Dell Laptop X12 Model,stock,yes
LAP-0749B66786,Dell Laptop X12 Model,stock,n/a
LAP-7D47121E27,Dell Laptop X12 Model,stock,
LAP-4430A7A260,Dell Laptop X12 Model,stock,n/a
LAP-FC67CA899B,Dell Laptop X12 Model,stock,
LAP-19FB2B06AF,Dell Laptop X12 Model,stock,no
LAP-58908E1805,Dell Laptop X12 Model,stock,no
LAP-79CA5EB19B,Dell Laptop X12 Model,stock,
LAP-689AECB296,Dell Laptop X12 Model,stock,no
LAP-2EDFE041E7,Dell Laptop X12 Model,stock,yes
LAP-FDC4CD865D,Dell Laptop X12 Model,stock,
LAP-536A409D9F,Dell Laptop X12 Model,stock,no
LAP-B4E6714CD9,Dell Laptop X12 Model,stock,yes
LAP-F800A4D3E9,Dell Laptop X12 Model,stock,no
LAP-FA784CC187,Dell Laptop X12 Model,stock,yes
LAP-E70B853D9A,Dell Laptop X12 Model,stock,n/a
LAP-E18B3DF767,Dell Laptop X12 Model,stock,n/a
LAP-087E9D75E7,Dell Laptop X12 Model,stock,n/a
LAP-E8D99FF67A,Dell Laptop X12 Model,stock,no
LAP-C2BFB321D9,Dell Laptop X12 Model,stock,no
LAP-712AA47693,Dell Laptop X12 Model,stock,no
LAP-A8D31B14A8,Dell Laptop X12 Model,stock,no
LAP-6BD9AD237A,Dell Laptop X12 Model,stock,n/a
LAP-61673A3460,Dell Laptop X12 Model,stock,yes
LAP-426A72C81C,Dell Laptop X12 Model,stock,
LAP-8D2EDF31EF,Dell Laptop X12 Model,stock,n/a
LAP-8E0142AF5B,Dell Laptop X12 Model,stock,yes
LAP-DF0F052C03,Dell Laptop X12 Model,stock,n/a
LAP-A2973FEF44,Dell Laptop X12 Model,stock,n/a
LAP-C9E126F407,Dell Laptop X12 Model,stock,no
LAP-BADA59EE2C,Dell Laptop X12 Model,stock,
LAP-8B833FA537,Dell Laptop X12 Model,stock,
LAP-BEDE3C9E26,Dell Laptop X12 Model,stock,yes
LAP-25E348B9D7,Dell Laptop X12 Model,stock,
LAP-25D67B0961,Dell Laptop X12 Model,stock,no
LAP-905E0CF7D3,Dell Laptop X12 Model,stock,n/a
LAP-D571E40957,Dell Laptop X12 Model,stock,n/a
LAP-382B50043E,Dell Laptop X12 Model,stock,
LAP-D2E06377CD,Dell Laptop X12 Model,stock,
LAP-4E9BE845EC,Dell Laptop X12 Model,stock,n/a
LAP-46C9D3F19A,Dell Laptop X12 Model,stock,
LAP-734B98CB87,Dell Laptop X12 Model,stock,no
LAP-D312AB3E3A,Dell Laptop X12 Model,stock,yes
LAP-4DE72DD6EB,Dell Laptop X12 Model,stock,n/a
LAP-6B3E33ECDE,Dell Laptop X12 Model,stock,n/a
LAP-B895239572,Dell Laptop X12 Model,stock,n/a
LAP-6AA983293A,Dell Laptop X12 Model,stock,yes
LAP-2DE1363182,Dell Laptop X12 Model,stock,
LAP-B20C336322,Dell Laptop X12 Model,stock,n/a
LAP-F29EC79C4C,Dell Laptop X12 Model,stock,yes
LAP-1786B8338B,Dell Laptop X12 Model,stock,
LAP-AF209A19AA,Dell Laptop X12 Model,stock,yes
LAP-21C9560AC0,Dell Laptop X12 Model,stock,
LAP-4148192DBA,Dell Laptop X12 Model,stock,yes
LAP-9CF6F6F48E,Dell Laptop X12 Model,stock,n/a
LAP-1D094DCB78,Dell Laptop X12 Model,stock,yes
LAP-4C18B7C69F,Dell Laptop X12 Model,stock,no
LAP-AB6D8FFED6,Dell Laptop X12 Model,stock,no
LAP-F0411C393F,Dell Laptop X12 Model,stock,yes
LAP-B67FA9B4EB,Dell Laptop X12 Model,stock,yes
LAP-057C616050,Dell Laptop X12 Model,stock,
LAP-55DC57B9A4,Dell Laptop X12 Model,stock,yes
LAP-29B11ACA8A,Dell Laptop X12 Model,stock,n/a
LAP-66784847B6,Dell Laptop X12 Model,stock,yes
LAP-F4AC1174CB,Dell Laptop X12 Model,stock,no
LAP-8A1F92636C,Dell Laptop X12 Model,stock,n/a
LAP-B40F917540,Dell Laptop X12 Model,stock,n/a
LAP-109EC66FA7,Dell Laptop X12 Model,stock,
LAP-57E7BAF88D,Dell Laptop X12 Model,stock,
LAP-695173CDA2,Dell Laptop X12 Model,stock,yes
LAP-90FE45D9E7,Dell Laptop X12 Model,stock,n/a
LAP-3B4DF6436C,Dell Laptop X12 Model,stock,no
LAP-1E080F3E9A,Dell Laptop X12 Model,stock,
LAP-1945816DA3,Dell Laptop X12 Model,stock,
LAP-30F7515D10,Dell Laptop X12 Model,stock,n/a
LAP-03B78485D2,Dell Laptop X12 Model,stock,yes
LAP-66ED5D413B,Dell Laptop X12 Model,stock,no
LAP-C5E3C8F4DA,Dell Laptop X12 Model,stock,no
LAP-7CFBF88D56,Dell Laptop X12 Model,stock,
LAP-63860E2B3B,Dell Laptop X12 Model,stock,n/a
LAP-E9D8783CA2,Dell Laptop X12 Model,stock,no
LAP-B21C88BA67,Dell Laptop X12 Model,stock,no
LAP-6874049A8F,Dell Laptop X12 Model,stock,yes
LAP-64D3358FB6,Dell Laptop X12 Model,stock,no
LAP-E360D004EE,Dell Laptop X12 Model,stock,
LAP-B7776DFB45,Dell Laptop X12 Model,stock,n/a
LAP-3C2B70778E,Dell Laptop X12 Model,stock,yes
LAP-732FBAC431,Dell Laptop X12 Model,stock,
LAP-8F684DB56D,Dell Laptop X12 Model,stock,no
LAP-ABE842FA3E,Dell Laptop X12 Model,stock,yes
LAP-08978D9D65,Dell Laptop X12 Model,stock,no
LAP-A8D8AEE502,Dell Laptop X12 Model,stock,
LAP-B169E097AF,Dell Laptop X12 Model,stock,
LAP-DD1B2DF06A,Dell Laptop X12 Model,stock,
LAP-83087D7EF8,Dell Laptop X12 Model,stock,
LAP-76B74C19DD,Dell Laptop X12 Model,stock,yes
LAP-A52502FBF6,Dell Laptop X12 Model,stock,
LAP-D97D182C93,Dell Laptop X12 Model,stock,
LAP-23B36E2212,Dell Laptop X12 Model,stock,
LAP-F7E1B24407,Dell Laptop X12 Model,stock,
LAP-3F6761D3D1,Dell Laptop X12 Model,stock,yes
LAP-0746D4C1A1,Dell Laptop X12 Model,stock,yes
LAP-BD92853EC7,Dell Laptop X12 Model,stock,no
LAP-B9703E2682,Dell Laptop X12 Model,stock,n/a
LAP-093C3595BF,Dell Laptop X12 Model,stock,
LAP-8D263C4C76,Dell Laptop X12 Model,stock,no
LAP-717E721645,Dell Laptop X12 Model,stock,n/a
LAP-8A52142892,Dell Laptop X12 Model,stock,no
LAP-ED4A0CBBF2,Dell Laptop X12 Model,stock,yes
LAP-E9C74FB945,Dell Laptop X12 Model,stock,no
LAP-D9E2E8A466,Dell Laptop X12 Model,stock,no
LAP-5FCF08CF38,Dell Laptop X12 Model,stock,no
LAP-7CAC9BC314,Dell Laptop X12 Model,stock,no
LAP-96F9E66993,Dell Laptop X12 Model,stock,n/a
LAP-11B88BFDD3,Dell Laptop X12 Model,stock,yes
LAP-31539946ED,Dell Laptop X12 Model,stock,yes
LAP-7C642CF9B4,Dell Laptop X12 Model,stock,no
LAP-F79F8EDCAC,Dell Laptop X12 Model,stock,
LAP-2A8E7E7AED,Dell Laptop X12 Model,stock,
LAP-73E8A8D0F2,Dell Laptop X12 Model,stock,no
LAP-8FC10F247E,Dell Laptop X12 Model,stock,
LAP-CF04B8A2B3,Dell Laptop X12 Model,stock,
LAP-46DD9F7326,Dell Laptop X12 Model,stock,n/a
LAP-BC0669DE4F,Dell Laptop X12 Model,stock,yes
LAP-968DD285DC,Dell Laptop X12 Model,stock,yes
LAP-51D9D2B78F,Dell Laptop X12 Model,stock,
LAP-F12614A3A5,Dell Laptop X12 Model,stock,
LAP-C230A87FB0,Dell Laptop X12 Model,stock,yes
LAP-D19E4E27B8,Dell Laptop X12 Model,stock,n/a
LAP-A0635CA43C,Dell Laptop X12 Model,stock,no
LAP-DBB7567AF4,Dell Laptop X12 Model,stock,n/a
LAP-210335AA4A,Dell Laptop X12 Model,stock,n/a
LAP-E9EA531862,Dell Laptop X12 Model,stock,
LAP-371EC8AE5D,Dell Laptop X12 Model,stock,yes
LAP-D359841BFA,Dell Laptop X12 Model,stock,n/a
LAP-DB4BA333BF,Dell Laptop X12 Model,stock,n/a
LAP-DC28E3FD68,Dell Laptop X12 Model,stock,yes
LAP-8521589936,Dell Laptop X12 Model,stock,no
LAP-626964F767,Dell Laptop X12 Model,stock,no
LAP-43C23C0F9E,Dell Laptop X12 Model,stock,no
LAP-F906AF2066,Dell Laptop X12 Model,stock,n/a
LAP-7699B2AD03,Dell Laptop X12 Model,stock,yes
LAP-86874A2D75,Dell Laptop X12 Model,stock,
LAP-06121DE861,Dell Laptop X12 Model,stock,n/a
LAP-636C24CA9B,Dell Laptop X12 Model,stock,
LAP-4E139EAB8B,Dell Laptop X12 Model,stock,n/a
LAP-2457101145,Dell Laptop X12 Model,stock,
LAP-B28468A026,Dell Laptop X12 Model,stock,n/a
LAP-B8E4CBA570,Dell Laptop X12 Model,stock,no
LAP-7C052C85B1,Dell Laptop X12 Model,stock,
LAP-5A8DE54FB1,Dell Laptop X12 Model,stock,yes
LAP-1A44D24819,Dell Laptop X12 Model,stock,yes
LAP-2D9DC5B14C,Dell Laptop X12 Model,stock,
LAP-751F12EC6C,Dell Laptop X12 Model,stock,no
LAP-FE9A99EDD2,Dell Laptop X12 Model,stock,
LAP-3976AF0D89,Dell Laptop X12 Model,stock,no
LAP-2808737980,Dell Laptop X12 Model,stock,
LAP-7CE61D99C5,Dell Laptop X12 Model,stock,no
LAP-7E79C56513,Dell Laptop X12 Model,stock,yes
LAP-C9C97635CC,Dell Laptop X12 Model,stock,n/a
LAP-DB76D52C6F,Dell Laptop X12 Model,stock,
LAP-31D38EA0B5,Dell Laptop X12 Model,stock,n/a
LAP-A3856B3A1E,Dell Laptop X12 Model,stock,n/a
LAP-9377B22166,Dell Laptop X12 Model,stock,no
LAP-8520CCF8A4,Dell Laptop X12 Model,stock,no
LAP-60DE6C7B37,Dell Laptop X12 Model,stock,
LAP-F2A8C6B3CD,Dell Laptop X12 Model,stock,
LAP-19507F3EEA,Dell Laptop X12 Model,stock,
LAP-07685AB2DE,Dell Laptop X12 Model,stock,n/a
LAP-682F0B88FE,Dell Laptop X12 Model,stock,yes
LAP-5B9DEB5677,Dell Laptop X12 Model,stock,n/a
LAP-C7154F9987,Dell Laptop X12 Model,stock,yes
LAP-717913EE92,Dell Laptop X12 Model,stock,yes
LAP-A11E0A6291,Dell Laptop X12 Model,stock,no
LAP-7FFB64EB0E,Dell Laptop X12 Model,stock,n/a
LAP-B020258545,Dell Laptop X12 Model,stock,yes
LAP-B65E5F9333,Dell Laptop X12 Model,stock,no
LAP-D97BBF3ED1,Dell Laptop X12 Model,stock,n/a
LAP-0F489587C2,Dell Laptop X12 Model,stock,n/a
LAP-2778FE148B,Dell Laptop X12 Model,stock,yes
LAP-F397D9DF7F,Dell Laptop X12 Model,stock,no
LAP-76F2BA9356,Dell Laptop X12 Model,stock,n/a
LAP-16309D59C7,Dell Laptop X12 Model,stock,n/a
LAP-5181DD42B6,Dell Laptop X12 Model,stock,n/a
LAP-8EE127D829,Dell Laptop X12 Model,stock,
LAP-64A2E00637,Dell Laptop X12 Model,stock,
LAP-FC71BAFC70,Dell Laptop X12 Model,stock,no
LAP-46B22E9792,Dell Laptop X12 Model,stock,no
LAP-E4F59F5FBB,Dell Laptop X12 Model,stock,no
LAP-6AA2B1B02E,Dell Laptop X12 Model,stock,yes
LAP-07B2BE0F7F,Dell Laptop X12 Model,stock,n/a
LAP-F4BE66A5EB,Dell Laptop X12 Model,stock,
LAP-D7C2CC70E6,Dell Laptop X12 Model,stock,no
LAP-67C908DF84,Dell Laptop X12 Model,stock,no
LAP-134B8C8761,Dell Laptop X12 Model,stock,yes
LAP-42D538DC6B,Dell Laptop X12 Model,stock,n/a
LAP-C0D12ED616,Dell Laptop X12 Model,stock,n/a
LAP-76E1C76E88,Dell Laptop X12 Model,stock,n/a
LAP-A4C194BCF0,Dell Laptop X12 Model,stock,
LAP-E2961AD9B8,Dell Laptop X12 Model,stock,yes
LAP-500708159A,Dell Laptop X12 Model,stock,n/a
LAP-E854793F8B,Dell Laptop X12 Model,stock,
LAP-FF01E2AD96,Dell Laptop X12 Model,stock,n/a
LAP-BD7C634F3E,Dell Laptop X12 Model,stock,no
LAP-D69A54ACF4,Dell Laptop X12 Model,stock,no
LAP-24B57BAD7D,Dell Laptop X12 Model,stock,n/a
LAP-1EF9E4744D,Dell Laptop X12 Model,stock,yes
LAP-E6E11D246E,Dell Laptop X12 Model,stock,yes
LAP-B094212741,Dell Laptop X12 Model,stock,n/a
LAP-A03DB6CD94,Dell Laptop X12 Model,stock,
LAP-51C16D8E8C,Dell Laptop X12 Model,stock,
LAP-BBE51600D5,Dell Laptop X12 Model,stock,n/a
LAP-37605D0D46,Dell Laptop X12 Model,stock,no
LAP-2E50CDA292,Dell Laptop X12 Model,stock,yes
LAP-A5264D680B,Dell Laptop X12 Model,stock,no
LAP-A8EE721DAC,Dell Laptop X12 Model,stock,yes
LAP-20D410E422,Dell Laptop X12 Model,stock,n/a
LAP-68C5038B8E,Dell Laptop X12 Model,stock,yes
LAP-14176BF8DB,Dell Laptop X12 Model,stock,n/a
LAP-576FEFA28E,Dell Laptop X12 Model,stock,n/a
LAP-BFA3B339B8,Dell Laptop X12 Model,stock,no
LAP-3B242F026E,Dell Laptop X12 Model,stock,
LAP-4A3E3FE574,Dell Laptop X12 Model,stock,
LAP-8692793ECC,Dell Laptop X12 Model,stock,
LAP-F078761E1F,Dell Laptop X12 Model,stock,
LAP-60ADBE6602,Dell Laptop X12 Model,stock,yes
LAP-69F297B78F,Dell Laptop X12 Model,stock,no
LAP-6FDD83667B,Dell Laptop X12 Model,stock,yes
LAP-E6281C49EA,Dell Laptop X12 Model,stock,n/a
LAP-9850F0F2EF,Dell Laptop X12 Model,stock,yes
LAP-FD53FE9D30,Dell Laptop X12 Model,stock,yes
LAP-088A276A06,Dell Laptop X12 Model,stock,yes
LAP-B085B88B17,Dell Laptop X12 Model,stock,
LAP-4AEB20682E,Dell Laptop X12 Model,stock,no
LAP-D247CCEB87,Dell Laptop X12 Model,stock,yes
LAP-0FEBDE3017,Dell Laptop X12 Model,stock,n/a
LAP-43B6AF4E48,Dell Laptop X12 Model,stock,no
LAP-A8C9F44D21,Dell Laptop X12 Model,stock,yes
LAP-8F6AE0EE9C,Dell Laptop X12 Model,stock,n/a
LAP-F5639D043B,Dell Laptop X12 Model,stock,yes
LAP-67D1863A7E,Dell Laptop X12 Model,stock,yes
LAP-DA34859266,Dell Laptop X12 Model,stock,n/a
LAP-A7CCAA847A,Dell Laptop X12 Model,stock,no
LAP-28291DAB31,Dell Laptop X12 Model,stock,
LAP-326FDEAD90,Dell Laptop X12 Model,stock,
LAP-08FA43A60E,Dell Laptop X12 Model,stock,
LAP-06ADD2A6B0,Dell Laptop X12 Model,stock,no
LAP-7358668179,Dell Laptop X12 Model,stock,yes
LAP-E039DE1F8C,Dell Laptop X12 Model,stock,yes
LAP-E1E753CC50,Dell Laptop X12 Model,stock,
LAP-88C5130717,Dell Laptop X12 Model,stock,yes
LAP-5ABD5B4E99,Dell Laptop X12 Model,stock,
LAP-20E6E6C03B,Dell Laptop X12 Model,stock,yes
LAP-F1FF5765A4,Dell Laptop X12 Model,stock,yes
LAP-8722610DD2,Dell Laptop X12 Model,stock,
LAP-DBFBC9324F,Dell Laptop X12 Model,stock,n/a
LAP-9B0E4FA628,Dell Laptop X12 Model,stock,
LAP-B82A4BDBBC,Dell Laptop X12 Model,stock,n/a
LAP-B6DC4E4CB4,Dell Laptop X12 Model,stock,no
LAP-FC2B943479,Dell Laptop X12 Model,stock,n/a
LAP-5615C9BEEE,Dell Laptop X12 Model,stock,
LAP-824EBB5857,Dell Laptop X12 Model,stock,yes
LAP-F4BF575571,Dell Laptop X12 Model,stock,
LAP-CC60DA2DBE,Dell Laptop X12 Model,stock,yes
LAP-2C718EB56B,Dell Laptop X12 Model,stock,no
LAP-570048D93A,Dell Laptop X12 Model,stock,
LAP-89DC8DEF46,Dell Laptop X12 Model,stock,no
LAP-0B226E2B22,Dell Laptop X12 Model,stock,no
LAP-9CD9479DDF,Dell Laptop X12 Model,stock,yes
LAP-599C1F561A,Dell Laptop X12 Model,stock,n/a
LAP-CB0EDAB924,Dell Laptop X12 Model,stock,n/a
LAP-B76CA342E6,Dell Laptop X12 Model,stock,no
LAP-F2376ECE6E,Dell Laptop X12 Model,stock,no
LAP-C90551C759,Dell Laptop X12 Model,stock,yes
LAP-1411900727,Dell Laptop X12 Model,stock,
LAP-B95B6DF155,Dell Laptop X12 Model,stock,yes
LAP-FAABED42C4,Dell Laptop X12 Model,stock,yes
LAP-751872FB4F,Dell Laptop X12 Model,stock,no
LAP-58EF459E47,Dell Laptop X12 Model,stock,no
LAP-B9FAB12713,Dell Laptop X12 Model,stock,yes
LAP-2FCC59F251,Dell Laptop X12 Model,stock,no
LAP-C325AC74B1,Dell Laptop X12 Model,stock,
LAP-B3B01F4F95,Dell Laptop X12 Model,stock,n/a
LAP-2BED810569,Dell Laptop X12 Model,stock,n/a
LAP-434DF92185,Dell Laptop X12 Model,stock,yes
LAP-6D544B8A20,Dell Laptop X12 Model,stock,n/a
LAP-02FCEA06AD,Dell Laptop X12 Model,stock,no
LAP-01D92A6327,Dell Laptop X12 Model,stock,no
LAP-AA2F1679A3,Dell Laptop X12 Model,stock,n/a
LAP-F0CFDEE438,Dell Laptop X12 Model,stock,yes
LAP-745A468606,Dell Laptop X12 Model,stock,yes
LAP-AD2D84ACE8,Dell Laptop X12 Model,stock,n/a
LAP-C1FF40D214,Dell Laptop X12 Model,stock,no
LAP-64FFB496FD,Dell Laptop X12 Model,stock,yes
LAP-57690EC7CF,Dell Laptop X12 Model,stock,
LAP-E26A15C750,Dell Laptop X12 Model,stock,
LAP-F9FC560503,Dell Laptop X12 Model,stock,
LAP-E1FBED8EAF,Dell Laptop X12 Model,stock,yes
LAP-37C609E011,Dell Laptop X12 Model,stock,yes
LAP-99BABEBE09,Dell Laptop X12 Model,stock,n/a
LAP-38B2F8CBC4,Dell Laptop X12 Model,stock,yes
LAP-6A010CC0EF,Dell Laptop X12 Model,stock,n/a
LAP-637CAC458D,Dell Laptop X12 Model,stock,n/a
LAP-1971011A56,Dell Laptop X12 Model,stock,no
LAP-353BA50792,Dell Laptop X12 Model,stock,yes
LAP-181E6E7C93,Dell Laptop X12 Model,stock,yes
LAP-961B077AD0,Dell Laptop X12 Model,stock,
LAP-F469109114,Dell Laptop X12 Model,stock,
LAP-3E04A6EA4C,Dell Laptop X12 Model,stock,no
LAP-CB572C3485,Dell Laptop X12 Model,stock,no
LAP-E7FFDCC2DD,Dell Laptop X12 Model,stock,no
LAP-BE9E857846,Dell Laptop X12 Model,stock,no
LAP-24D891472D,Dell Laptop X12 Model,stock,no
LAP-ADE59C75D3,Dell Laptop X12 Model,stock,no
LAP-ED2A92400F,Dell Laptop X12 Model,stock,n/a
LAP-00CF1AFB0C,Dell Laptop X12 Model,stock,yes
LAP-232E222368,Dell Laptop X12 Model,stock,yes
LAP-D86830F28B,Dell Laptop X12 Model,stock,n/a
LAP-AD8A892E19,Dell Laptop X12 Model,stock,no
LAP-D5A6754526,Dell Laptop X12 Model,stock,no
LAP-CE2F85ACE1,Dell Laptop X12 Model,stock,no
LAP-C9091A7F18,Dell Laptop X12 Model,stock,no
LAP-526790D3F2,Dell Laptop X12 Model,stock,yes
LAP-8CA39B9FCB,Dell Laptop X12 Model,stock,n/a
LAP-2E6B880304,Dell Laptop X12 Model,stock,
LAP-BC758A53A3,Dell Laptop X12 Model,stock,no
LAP-BA1E7402B6,Dell Laptop X12 Model,stock,yes
LAP-839305CDF6,Dell Laptop X12 Model,stock,yes
LAP-D5454721DD,Dell Laptop X12 Model,stock,yes
LAP-4317338C46,Dell Laptop X12 Model,stock,yes
LAP-7097F31D12,Dell Laptop X12 Model,stock,yes
LAP-C1EF9A3EE9,Dell Laptop X12 Model,stock,no
LAP-150BEBD822,Dell Laptop X12 Model,stock,n/a
LAP-EA3228DB80,Dell Laptop X12 Model,stock,n/a
LAP-A6CE6B95CA,Dell Laptop X12 Model,stock,no
LAP-21A9ADC6BA,Dell Laptop X12 Model,stock,no
LAP-CAF4982FD9,Dell Laptop X12 Model,stock,yes
LAP-BBF3B35F9A,Dell Laptop X12 Model,stock,no
LAP-747ECA1BA6,Dell Laptop X12 Model,stock,no
LAP-1BC5E26F3A,Dell Laptop X12 Model,stock,no
LAP-EE294A11FF,Dell Laptop X12 Model,stock,n/a
LAP-5F52F71366,Dell Laptop X12 Model,stock,no
LAP-538A8F8DCF,Dell Laptop X12 Model,stock,
LAP-5804B0DE1A,Dell Laptop X12 Model,stock,yes
LAP-151619E095,Dell Laptop X12 Model,stock,no
LAP-946871EF7D,Dell Laptop X12 Model,stock,no
LAP-2414D730DD,Dell Laptop X12 Model,stock,no
LAP-B20698EDAE,Dell Laptop X12 Model,stock,n/a
LAP-9C114561C7,Dell Laptop X12 Model,stock,n/a
LAP-268B1BB2E4,Dell Laptop X12 Model,stock,
LAP-A4BC9EE367,Dell Laptop X12 Model,stock,n/a
LAP-8E1EE3FFC8,Dell Laptop X12 Model,stock,n/a
LAP-2941A150E0,Dell Laptop X12 Model,stock,no
LAP-527AF903C7,Dell Laptop X12 Model,stock,no
LAP-A39105C4FE,Dell Laptop X12 Model,stock,n/a
LAP-0B4CA58950,Dell Laptop X12 Model,stock,no
LAP-214FC9ACBE,Dell Laptop X12 Model,stock,
LAP-B5AC59E9B4,Dell Laptop X12 Model,stock,n/a
LAP-F9D440536B,Dell Laptop X12 Model,stock,n/a
LAP-3B9DDA1C7E,Dell Laptop X12 Model,stock,
LAP-9B42F823E3,Dell Laptop X12 Model,stock,
LAP-82F4563701,Dell Laptop X12 Model,stock,yes
LAP-52EB967BD8,Dell Laptop X12 Model,stock,no
LAP-628DB486D1,Dell Laptop X12 Model,stock,n/a
LAP-CADED5FE0C,Dell Laptop X12 Model,stock,
LAP-8F5621D9F4,Dell Laptop X12 Model,stock,
LAP-D35282AF3C,Dell Laptop X12 Model,stock,no
LAP-E240AB6AD6,Dell Laptop X12 Model,stock,n/a
LAP-248837E794,Dell Laptop X12 Model,stock,no
LAP-1E38707644,Dell Laptop X12 Model,stock,yes
LAP-B7AFA93206,Dell Laptop X12 Model,stock,n/a
LAP-144E01BED6,Dell Laptop X12 Model,stock,no
LAP-1524CACEC7,Dell Laptop X12 Model,stock,
LAP-D9C43F01AE,Dell Laptop X12 Model,stock,
LAP-4A37E90DF7,Dell Laptop X12 Model,stock,
LAP-C835BA6807,Dell Laptop X12 Model,stock,no
LAP-CED1465B64,Dell Laptop X12 Model,stock,n/a
LAP-BC297A6E82,Dell Laptop X12 Model,stock,n/a
LAP-06BA77097F,Dell Laptop X12 Model,stock,no
LAP-6C39DDBC86,Dell Laptop X12 Model,stock,
LAP-0D05AC248C,Dell Laptop X12 Model,stock,no
LAP-0E44E6A9B2,Dell Laptop X12 Model,stock,n/a
LAP-0D63FB55DC,Dell Laptop X12 Model,stock,
LAP-1AC5C34C08,Dell Laptop X12 Model,stock,yes
LAP-6664B052C1,Dell Laptop X12 Model,stock,n/a
LAP-4B61E529CA,Dell Laptop X12 Model,stock,no
LAP-093006D5AB,Dell Laptop X12 Model,stock,
LAP-209AC3F836,Dell Laptop X12 Model,stock,
LAP-A03CC71D6B,Dell Laptop X12 Model,stock,n/a
LAP-0FB725AE0D,Dell Laptop X12 Model,stock,n/a
LAP-E7008C65A8,Dell Laptop X12 Model,stock,yes
LAP-5F8D0BD458,Dell Laptop X12 Model,stock,n/a
LAP-4DD6DC0FD0,Dell Laptop X12 Model,stock,
LAP-9518E17DB3,Dell Laptop X12 Model,stock,
LAP-283049EDC1,Dell Laptop X12 Model,stock,no
LAP-53153D1456,Dell Laptop X12 Model,stock,n/a
LAP-3921CBE29D,Dell Laptop X12 Model,stock,no
LAP-57585E56A6,Dell Laptop X12 Model,stock,yes
LAP-A5322AF46A,Dell Laptop X12 Model,stock,
LAP-200EA2525C,Dell Laptop X12 Model,stock,
LAP-5979D4C90B,Dell Laptop X12 Model,stock,n/a
LAP-C0D0809F56,Dell Laptop X12 Model,stock,yes
LAP-23BD3B629C,Dell Laptop X12 Model,stock,n/a
LAP-16AEA03A8C,Dell Laptop X12 Model,stock,
LAP-30200CB159,Dell Laptop X12 Model,stock,n/a
LAP-D8B9E97ABE,Dell Laptop X12 Model,stock,no
LAP-DD7EF337DD,Dell Laptop X12 Model,stock,no
LAP-F92E630F13,Dell Laptop X12 Model,stock,
LAP-158C664F14,Dell Laptop X12 Model,stock,n/a
LAP-D38271F4CA,Dell Laptop X12 Model,stock,no
LAP-936FA7824F,Dell Laptop X12 Model,stock,n/a
LAP-5F5B7675FB,Dell Laptop X12 Model,stock,
LAP-EAB8B1D76F,Dell Laptop X12 Model,stock,n/a
LAP-897B287B21,Dell Laptop X12 Model,stock,
LAP-4821ECAB37,Dell Laptop X12 Model,stock,
LAP-ABF8ECC83B,Dell Laptop X12 Model,stock,n/a
LAP-C9FF955855,Dell Laptop X12 Model,stock,no
